Day Week Ends On,Sort County x Week,County,Count Confirmed Cases Suppressed if 1-4,Count Probable Cases Suppressed if 1-4,Count Hospitalized Cases Suppressed if 1-4,Count Deceased Cases Suppressed if 1-4
4/24/2021 12:00:00 AM,146,Aiken,68,82,7,<5
5/1/2021 12:00:00 AM,147,Aiken,91,59,7,
5/8/2021 12:00:00 AM,148,Aiken,56,41,8,<5
5/15/2021 12:00:00 AM,149,Aiken,55,35,<5,<5
5/22/2021 12:00:00 AM,150,Aiken,44,35,<5,<5
5/29/2021 12:00:00 AM,151,Aiken,46,28,<5,
6/5/2021 12:00:00 AM,152,Aiken,23,15,<5,
6/12/2021 12:00:00 AM,153,Aiken,15,14,<5,
6/19/2021 12:00:00 AM,154,Aiken,9,12,<5,
6/26/2021 12:00:00 AM,155,Aiken,9,16,<5,<5
7/3/2021 12:00:00 AM,156,Aiken,12,9,<5,
7/10/2021 12:00:00 AM,157,Aiken,19,18,<5,<5
7/17/2021 12:00:00 AM,158,Aiken,45,44,7,<5
7/24/2021 12:00:00 AM,159,Aiken,119,128,11,<5
7/31/2021 12:00:00 AM,160,Aiken,269,218,10,<5
8/7/2021 12:00:00 AM,161,Aiken,478,254,22,<5
8/14/2021 12:00:00 AM,162,Aiken,573,301,20,8
8/21/2021 12:00:00 AM,163,Aiken,702,363,28,8
8/28/2021 12:00:00 AM,164,Aiken,766,343,31,15
9/4/2021 12:00:00 AM,165,Aiken,871,414,29,16
9/11/2021 12:00:00 AM,166,Aiken,476,448,30,12
9/18/2021 12:00:00 AM,167,Aiken,484,270,27,9
9/25/2021 12:00:00 AM,168,Aiken,404,148,18,17
10/2/2021 12:00:00 AM,169,Aiken,340,143,16,8
10/9/2021 12:00:00 AM,170,Aiken,222,107,9,8
10/16/2021 12:00:00 AM,171,Aiken,136,68,6,8
10/23/2021 12:00:00 AM,172,Aiken,79,37,8,<5
10/30/2021 12:00:00 AM,173,Aiken,87,39,<5,<5
11/6/2021 12:00:00 AM,174,Aiken,64,57,<5,<5
11/13/2021 12:00:00 AM,175,Aiken,61,60,<5,<5
11/20/2021 12:00:00 AM,176,Aiken,90,57,5,<5
11/27/2021 12:00:00 AM,177,Aiken,70,72,<5,<5
12/4/2021 12:00:00 AM,178,Aiken,80,78,<5,
12/11/2021 12:00:00 AM,179,Aiken,61,56,<5,5
12/18/2021 12:00:00 AM,180,Aiken,87,76,9,<5
4/4/2020 12:00:00 AM,181,Allendale,<5,<5,<5,
4/11/2020 12:00:00 AM,182,Allendale,<5,<5,<5,
4/18/2020 12:00:00 AM,183,Allendale,<5,<5,<5,
4/25/2020 12:00:00 AM,184,Allendale,<5,<5,<5,<5
5/2/2020 12:00:00 AM,185,Allendale,5,<5,<5,
5/9/2020 12:00:00 AM,186,Allendale,13,<5,<5,<5
5/16/2020 12:00:00 AM,187,Allendale,10,<5,<5,
5/23/2020 12:00:00 AM,188,Allendale,<5,<5,<5,
5/30/2020 12:00:00 AM,189,Allendale,<5,<5,<5,
6/6/2020 12:00:00 AM,190,Allendale,<5,<5,<5,
6/20/2020 12:00:00 AM,191,Allendale,5,<5,<5,
6/27/2020 12:00:00 AM,192,Allendale,<5,<5,<5,
7/4/2020 12:00:00 AM,193,Allendale,13,<5,<5,
7/11/2020 12:00:00 AM,194,Allendale,27,<5,<5,
7/18/2020 12:00:00 AM,195,Allendale,32,<5,<5,<5
7/25/2020 12:00:00 AM,196,Allendale,26,<5,<5,
8/1/2020 12:00:00 AM,197,Allendale,43,<5,<5,
8/8/2020 12:00:00 AM,198,Allendale,29,<5,<5,<5
8/15/2020 12:00:00 AM,199,Allendale,26,<5,<5,<5
